"ll_gissqft","ll_gisacre","landval","parval","usedesc","city"
11527,0.26462,35000,138770,"Residential","Dallas"
7309,0.16778,45000,178920,"Residential","Dallas"
7563,0.17361,38000,145960,"Residential","Dallas"
10504,0.24113,30000,131260,"Residential","Dallas"
6752,0.155,25000,190500,"Residential","Dallas"
5884,0.13508,40000,266700,"Residential","Dallas"
7175,0.16471,44000,145890,"Residential","Dallas"
9457,0.21709,56720,168880,"Residential","Dallas"
7202,0.16534,40000,143560,"Residential","Dallas"
6412,0.14719,12890,118480,"Commercial","Dallas"
3669,0.08424,30000,158960,"Residential","Dallas"
6302,0.14467,40000,224010,"Residential","Dallas"
10504,0.24113,30000,165390,"Residential","Dallas"
3128,0.0718,50000,223550,"Residential","Dallas"
4751,0.10908,52000,246230,"Residential","Dallas"
10008,0.22975,40000,158400,"Residential","Dallas"
6022,0.13824,30000,156450,"Residential","Dallas"
6752,0.15501,38000,153170,"Residential","Dallas"
7202,0.16534,40000,147280,"Residential","Dallas"
7666,0.17598,38000,181340,"Residential","Dallas"
7563,0.17361,38000,152350,"Residential","Dallas"
5071,0.11642,25000,119130,"Residential","Dallas"
12503,0.28703,40000,160280,"Residential","Dallas"
8085,0.18559,35000,199760,"Residential","Dallas"
10068,0.23113,40000,176240,"Residential","Dallas"
9699,0.22266,25000,100130,"Residential","Dallas"
14583,0.33478,38000,132360,"Residential","Dallas"
10865,0.24941,46500,46500,"Residential","Dallas"
7493,0.17201,26000,118400,"Residential","Dallas"
8470,0.19445,24000,95300,"Residential","Dallas"
7146,0.16405,25000,134800,"Residential","Dallas"
25009,0.57411,125000,125000,"Commercial","Dallas"
13083,0.30035,65400,206080,"Residential","Dallas"
7442,0.17084,25000,263280,"Residential","Dallas"
19332,0.4438,35820,248450,"Residential","Dallas"
7202,0.16534,40000,237750,"Residential","Dallas"
7815,0.17941,39000,168880,"Residential","Dallas"
5705,0.13097,45000,324000,"Residential","Dallas"
8349,0.19167,35000,196950,"Residential","Dallas"
6752,0.155,25000,120280,"Residential","Dallas"
12762,0.29297,63790,131510,"Residential","Dallas"
